Line,DataOwnerCode,DestinationCode,DestinationName50,LineDirection,LineName,LinePlanningNumber,LinePublicNumber,LineWheelchairAccessible,TransportType
QBUZZ_c516_1,QBUZZ,3804,Harkstede via Kolham,1,Buurtbus Hoogezand - Harkstede,c516,516,ACCESSIBLE,BUS
QBUZZ_u565_1,QBUZZ,2980,Nieuwegein Centrum,1,Wijkbus Vreeswijk,u565,565,ACCESSIBLE,BUS
ARR_6648_2,ARR,6000,Tiel,2,Zaltbommel - Tiel,6648,648,UNKNOWN,BUS
QBUZZ_c516_2,QBUZZ,391,Hoogezand,2,Buurtbus Hoogezand - Harkstede,c516,516,ACCESSIBLE,BUS
AVV_100924_1,AVV,1419,Aachen Bushof,1,,100924,24V,UNKNOWN,BUS
CXX_N008_1,CXX,N00801403,Haarlem  Station,1,Haarlem Stat. - NOVA/Hogeschool Inholland,N008,8,ACCESSIBLE,BUS
HTM_42_1,HTM,11;11,DH Kraayenstein,1,Kraaijenstein - Station Den Haag Centraal,42,2,UNKNOWN,TRAM
HTM_42_2,HTM,93;93,Station DH Centraal,2,Kraaijenstein - Station Den Haag Centraal,42,2,UNKNOWN,TRAM
RET_M010_2,RET,MEGVC---,Den Haag Centraal,2,lijn,M010,E,UNKNOWN,METRO
CXX_Z715_2,CXX,Z71503320,Strijen Politiebureau,2,Strijensas s'Gravendeel,Z715,715,NOTACCESSIBLE,BUS
RET_M010_1,RET,MESLG---,Slinge,1,lijn,M010,E,UNKNOWN,METRO
ARR_28332_1,ARR,1703,Bolsward Busstation,1,"Schraard - Bolsward,Twibaksdyk",28332,9151,NOTACCESSIBLE,BUS
ARR_28332_2,ARR,2698,Schraard,2,"Schraard - Bolsward,Twibaksdyk",28332,9151,NOTACCESSIBLE,BUS
RET_15_2,RET,ZP------,Zuidplein,2,Zuidplein - Centraal Station,15,44,UNKNOWN,BUS
RET_15_1,RET,CS------,Rotterdam Centraal,1,Zuidplein - Centraal Station,15,44,UNKNOWN,BUS
HTM_11_1,HTM,78;78,Scheveningen Haven,1,Scheveningen Haven - Rijswijkseplein,11,11,UNKNOWN,TRAM
HTM_11_2,HTM,81;81,Station Den Haag HS,2,Scheveningen Haven - Rijswijkseplein,11,11,UNKNOWN,TRAM
CXX_F143_1,CXX,F14329643,Dronten,1,Kampen - Dronten,F143,143,ACCESSIBLE,BUS
CXX_F143_2,CXX,F14300909,Kampen,2,Kampen - Dronten,F143,143,ACCESSIBLE,BUS
ARR_28269_1,ARR,1722,Heerenveen Busstation,1,"Delfstrahuizen - Heerenveen, Busstation",28269,8481,NOTACCESSIBLE,BUS
ARR_28016_2,ARR,1740,Holwerd Veerdam Ameland,2,"Holwerd, Veerdam - Dokkum, Busstation",28016,7071,NOTACCESSIBLE,BUS
ARR_28016_1,ARR,1706,Dokkum Busstation,1,"Holwerd, Veerdam - Dokkum, Busstation",28016,7071,NOTACCESSIBLE,BUS
ARR_28269_2,ARR,2764,Delfstrahuizen Brug,2,"Delfstrahuizen - Heerenveen, Busstation",28269,8481,NOTACCESSIBLE,BUS
ARR_51060_1,ARR,1810,Dokkum,1,Dokkum via Holwerd - Leeuwarden,51060,60,UNKNOWN,BUS
ARR_51060_2,ARR,1721,Leeuwarden,2,Dokkum via Holwerd - Leeuwarden,51060,60,UNKNOWN,BUS
CXX_L657_1,CXX,L65726616,Valkenswaard,1,Sterksel-Heeze-Leende-Valkenswaard,L657,657,NOTACCESSIBLE,BUS
CXX_L657_2,CXX,L65716180,Sterksel,2,Sterksel-Heeze-Leende-Valkenswaard,L657,657,NOTACCESSIBLE,BUS
